Corpus|Year
LibriSpeech|2015
DAPS|2015
THCHS-30|2015
EMIME|2015
CMU Arctic|2015
JSUT|2017
Common Voice|2017
LJ Speech|2017
AISHELL-1|2017
AISHELL-2|2018
M-AILABS|2019
VCTK|2019
LibriTTS|2019
AISHELL-3|2020
lecture_tts|2020
MLS|2021
AISHELL-4|2021
VoxPopuli|2021
ADIMA|2022
MuTox|2024
VoxForge, educational videos|None (2019)
self-collected|None (2021)
social media, internet 2022|None (2022)
Aidatang_200zh|None (2022)
Magic Data|None (2022)
self-recorded|None (2022)
freeST|None (2023)
VoxLingua107|None (2023)
other single speaker datasets|None (2024)
social media, internet 2024|None (2024)
