Dataset,Year,Accessibility,DF tools,Language,Utterances,Speakers (M+F),License
VCC 2016,2016,public,18,1,25110,10 (5+5),CC BY 4.0
VCC 2018,2018,public,23,1,41148,12 (6+6),CC BY 4.0
ASVspoof 2019 LA,2019,public,17,1,121461,107 (46+61),ODC-By
Fake or Real,2019,public,7,1,198000,N/A,GPLv3
MC-TTS,2020,restricted,1,1,12026,N/A,N/A
Sprocket-VC,2020,restricted,1,1,6588,N/A,N/A
SynSpeechDDB,2020,restricted,16,2,142290,N/A,N/A
VCC 2020,2020,public,3,4,30280,14 (7+7),DbCL 1.0
ASVspoof 2021 DF,2021,public,100,1,611829,93 (43+50),ODC-By
ASVspoof 2021 LA,2021,public,13,1,164640,67 (30+37),ODC-By
FMFCC-A,2021,restricted,13,1,50000,131 (58+73),N/A
Half-Truth (HAD),2021,public,1,1,160836,218 (43+175),CC BY 4.0
WaveFake,2021,public,7,2,122985,2 (0+2),CC BY-SA 4.0
AD for SFR,2022,public,5,1,181764,585,CC BY 4.0
ADD challenge 1,2022,public,N/A,1,493123,80 (40+40),CC BY-NC-ND 4.0
CFAD,2022,public,11,1,347514,1212,CC BY 4.0
F&M,2022,public,1,2,3522,160,N/A
In-the-wild,2022,public,N/A,1,31752,58,Apache 2.0
ADD challenge 2,2023,public,N/A,1,517068,1030,CC BY-NC-ND 4.0
DECRO,2023,public,10,2,118382,2839,CC BY 4.0
LibriTTS-DF,2023,restricted,6,1,N/A,N/A,N/A
PartialSpoof v1.2,2023,public,9,1,121461,107 (46+61),CC BY 4.0
TIMIT-TTS,2023,public,12,1,79120,69 (38+31),CC BY 4.0
Voc.v2 v3 v4,2023,public,4,1,10320,20 (8+12),ODC-By
MLAAD (v9),2024,public,140,51,298000,N/A,CC BY-NC 4.0
CodecFake,2024,public,15,1,90797,109 (47+62),CC BY 4.0
Codecfake (big),2024,public,7,2,1058166,328,CC BY-NC-ND 4.0
CVoiceFake,2024,public,6,5,1254893,N/A,CC BY 4.0
Diffuse or Confuse,2024,public,12,1,183400,1 (0+1),CC BY 4.0
MLADDC,2024,public,2,20,400000,N/A,CC BY 4.0
VoiceWukong,2024,restricted,34,2,826800,N/A,CC BY-NC 4.0
DFADD,2024,public,5,1,207995,109 (47+62),MIT
ASVspoof 5,2024,public,32,1,1004081,1922 (964+958),ODC-By
SCDF,2025,public,4,5,237250,50 (25+25),CC0 1.0
AI4T,2025,public,N/A,8,4798,N/A,N/A
SynHate,2025,public,N/A,37,134797,N/A,N/A
STOPA,2025,public,13,1,699000,107 (46+61),CC BY 4.0
PartialEdit,2025,public,4,1,43358,107 (46+61),CC BY 4.0
SpeechFake,2025,public,30,46,3338508,720 (374+346),Apache 2.0
